experiment,dropout,weight_decay,train_loss,val_loss,val_accuracy
No Regularization,0.0,0.0,0.2856847040308347,0.26664563015440346,0.9204892966360856
Dropout Only,0.3,0.0,0.3283231936285831,0.200473712543185,0.9292048929663609
Dropout + Weight Decay,0.3,1e-05,0.31653341269842983,0.213797087835781,0.9308868501529052
