epoch,train_f1,val_f1
1,0.7141157061782739,0.9026552101715272
2,0.8968619058632825,0.9172414109492413
3,0.9152003439119997,0.9205753459051977
4,0.9261229283111825,0.9207295713464528
5,0.9366951116522046,0.9224834689443062
